id,name,bn_name,description,address,website_url,facebook_url,twitter_url,linkedin_url,youtube_url,email,phone,origin_country,created_by,created_at,updated_by,updated_at,organization_type
11,Shakti Foundation,শক্তি ফাউন্ডেশন,"স্বাস্থ্য, ক্ষুদ্রঋণ এবং সামাজিক উন্নয়ন কর্মসূচির মাধ্যমে সুবিধাবঞ্চিত নারীদের ক্ষমতায়ন করে।","বাড়ি ২/১০, ব্লক সি, লালমাটিয়া, ঢাকা ১২০৭",http://www.shakti.org.bd,https://www.facebook.com/shaktifoundation/,null,null,null,info@shakti.org.bd,"+88029112921",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
12,Society for Health Extension and Development (SHED),সোসাইটি ফর হেলথ এক্সটেনশন এন্ড ডেভেলপমেন্ট",null,null,http://www.shedbd.org,null,null,null,null,info@shedbd.org,"+88029112807",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
13,Bandhu Social Welfare Society,বন্ধু",null,null,https://bdplatform4sdgs.net/profile/bandhu-social-welfare-society-bandhu,null,null,null,null,null,null,BANGLADESH,admin,2023-10-26 10:00:00,"admin","2023-10-26 10:00:00",NGO
14,JAAGO Foundation,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
15,Acid Survivors Foundation,null,null,"Plot: A/5,Level: 6 (CRP-Mirpur),Block: A, Section: 14, Mirpur, Dhaka-1206",null,null,null,null,null,null,"+88 09678777148, 09678777149",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
16,Blind Education and Rehabilitation Development Organisation,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
17,Fisheries Society of Bangladesh,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
18,Association for Land Reform and Development,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
19,ADRA Bangladesh,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
20,Aims Development Foundation - ADF,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
21,ACORD,null,"Mainstay projects of ACORD focus on human rights, Disability work, legal support, mediation/ADR, human security, violence prevention and peace building, livelihood security, humanitarian support, human trafficking, prevention, child sexual abuse prevention, female empowerment, fair international trade, debt exemption, Narshingdi", Dhaka,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
22,Aine Sohayata Kendro Asok Foundation,null,"1) As a human rights organization, our organization has been working on human rights issues in various countries including Bangladesh 2) Our organization is a charitable non-political and non-profit making human rights organization engaged in the service of humanity, governed by the Trust Act of 1882. 3) Our organization provides legal assistance to the helpless oppressed people. 4) Our organizati.","Dhaka-1230, Asia, BD",null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
23,Be Desi Children's Foundation,null,"BDCF, a student-run nonprofit organization, was created in 2020 by high school students in the New York City Metropolitan area. Since then, we have grown to over 215 high school and undergraduate volunteers, in 4 different countries. Since 2020, we have raised over $37,000 in research grants and other awards. Our Relocation Relief Schools (RRS), which are 3-year temporary formal schools in slum re.","Gulshan, Dhaka, BD",null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
24,Bidyanondo Foundation,null,"Bidyanondo (Learn For Fun) is an educational voluntary organization in Bangladesh(Official Registration No.S-12258/2015) whose mission is to foster philanthropy domestically and internationally by designing innovative programs that engage students & professionals with disadvantaged communities in Bangladesh and work.","Dhaka, Dhaka, BD",null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
25,UBINIG,null,"Unnayan Bikalper Nitinirdharoni Gobeshona, research, policy, advocacy agency, opposes industrial agriculture.",null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
26,Bangladesh NGOs Network for Radio and Communication,null,works on media development and digital transformation for civil society organizations,null,https://bnnrc.net/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NPO
27,Save the Children,null,"works extensively in areas such as health, education, and child protection",null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
28,Oxfam,null,"addresses a wide range of needs, from poverty alleviation to disaster response",null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
29,Agami Education Foundation,null,dedicated to education,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
30,Action Against Hunger,null,addresses hunger and malnutrition,null,https://www.actionagainsthunger.org/location/asia/bangladesh/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
31,Baitun Noor Foundation,null,focuses on improving communities through education and humanitarian aid,null,https://www.baitunnoor.com.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
32,BACHAO,null,identifies and funds projects run by other secular and non-political charitable organizations in Bangladesh,null,https://www.bachaohelp.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CO
33,Community Based Health Care (CBHC),null,"national strategy to provide primary healthcare services, strengthen community clinics, and improve maternal, newborn, and child care",null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CBO
34,Shalom,null,responds to humanitarian crises and initiates development activities to support the poor and oppressed,null,https://churchofbangladesh.org/ministry/shalom/,null,null,null,null,senoyshalom@gmail.com,"+88-02-47111017",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",FBO
35,Foundation for Advancement of Innovations in Technology and Health (faith Bangladesh),null,improves the health and livelihoods of people living in resource-poor communities through innovative technological and health-related solutions,null,https://www.faithbangladesh.org/,null,null,null,null,communications@faithbangladesh.org,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",FBO
36,LAMB,null,"focuses on maternal and child health, family planning, nutrition, immunization, water and sanitation, and overall health systems strengthening in rural areas",null,https://www.lambproject.org/,null,null,null,null,null,"P 775.687.9115 (Carson City Office), P 702.486.6458 (Las Vegas Office)",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",FBO
37,World Renew,null,"focuses on maternal and child health, family planning, nutrition, immunization, water and sanitation, and overall health systems strengthening in rural areas",null,https://worldrenew.net/bangladesh,null,null,null,null,worldrenew.feedback@gmail.com,"+88-02-8419171",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",FBO
38,Lutheran Health Care Bangladesh-USA,null,provides healthcare services through a 44-bed hospital and implements community development programs,null,http://www.lhcb-usa.org,null,null,null,null,billbobbjr@gmail.com,"7635441021",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",FBO
39,ActionAid,null,overcoming poverty,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
40,Adventist Development and Relief Agency,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
41,CAFOD,null,working through partner agency Action on Disability and Development,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
42,Caritas Internationalis,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
43,Carter Center,null,"democracy, health",null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
44,Childreach International,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
45,Christian Commission for Development in Bangladesh,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
46,The Fred Hollows Foundation,null,eye health,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
47,Habitat for Humanity,null,Habitat Bangladesh,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
48,Helen Keller International,null,null,null,https://www.helenkellerintl.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
49,Oxfam,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
50,Save the Children,null,"improving children's health, education, and protection",null,https://www.savethechildren.org/us/where-we-work/bangladesh,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
51,PATH,null,strengthen health systems through innovative approaches,null,https://www.path.org/where-we-work/asia-pacific/bangladesh/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
52,Doctors Without Borders (Médecins Sans Frontières),null,provides medical services in response to refugee emergencies and for neglected communities,null,https://www.doctorswithoutborders.org/what-we-do/where-we-work/bangladesh,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
53,World Vision International,null,working on emergency relief and building community resilience,null,https://www.wvi.org/bangladesh,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
54,International Rescue Committee (IRC),null,works to protect and provide aid to refugees and crisis-affected communities,null,https://www.rescue.org/country/bangladesh,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
55,Bangladesh Institute of Child Health,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
56,Bangladesh Medical Research Council,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
57,"BIRDEM (Bangladesh Institute of Research and Rehabilitation in Diabetes, Endocrine and Metabolic Disorders)",null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
58,Institute of Epidemiology Disease Control and Research (IEDCR),null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
59,Institute of Public Health (Bangladesh),null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
60,"Public Health Foundation, Bangladesh",null,aims to establish a fairer and healthier society through evidence-based actions and research,null,https://publichealthfoundation.org.bd/,https://www.facebook.com/publichealthfoundationbd/,null,https://www.linkedin.com/company/public-health-foundation-of-bangladesh/,https://www.youtube.com/channel/UCKAFyzvH136Wl1TfmXF9xDA,info@publichealthfoundation.org.bd,"+8801329647969",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MF
61,Child Health Research Foundation (CHRF),null,works to prevent infections and save children's lives by generating evidence and advocating for policy changes,null,https://chrfbd.org/,https://www.facebook.com/bdchrf,https://twitter.com/chrfbd?lang=en,https://www.linkedin.com/company/child-health-research-foundation/,https://www.youtube.com/channel/UCo5luDH7uchr4fWVlTyE0Og/featured,info@chrfbd.org,"+880 2 48110117-8",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MF
62,Bangladesh Life Science & Medical Technology Foundation,null,focuses on human resource development within the medical technology sector,null,https://bangladesh-lsmtfboard.com/,null,null,null,null,chairmanlifescience@gmail.com,"01716 604148",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MF
63,Community Health Foundation Bangladesh,null,supports initiatives like the Community Based Medical College Bangladesh,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MF
64,Integrative Doctors Association of Bangaldesh,null,advocates for practitioners of alternative medicine,null,https://www.idabbd.org/,https://www.facebook.com/idabbd/,https://twitter.com/idab_bd,https://www.linkedin.com/in/dr-md-golam-masud-mridha-phd-90081128b/,https://www.youtube.com/@idabbangladesh4033,null,"+8801831363666",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
65,Bangladesh Nurses Association,null,works to promote nursing standards and the welfare of nurses,null,https://bna.org.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
66,Bangladesh Health Professions Institute (BHPI),null,focuses on producing skilled rehabilitation professionals,null,https://www.bhpi.edu.bd/,null,null,null,null,principal-bhpi@crp-bangladesh.org,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
67,Bangladesh Medical Association (BMA),null,serves as the national professional association for medical doctors,null,https://www.bma.org.bd/,null,null,null,null,bma.org.bd@gmail.com,"+8802-223388714",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
68,Association of Physicians of Bangladesh (APB),null,represents specialists in internal medicine,null,https://apbbd.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
69,Bangladesh Medical Students' Society (BMSS),null,provides a platform for medical students,null,https://bmssbangladesh.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PA
70,WHO Bangladesh,null,provides leadership and technical support in the health sector,null,https://www.who.int/bangladesh/,null,null,null,https://www.youtube.com/channel/UCLvAY5BvbChXYiwUVC97SpQ,sebanregistry@who.int,"88 0960 40 27200",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
71,Bangladesh Health Watch,null,serves as a multi-stakeholder civil society network dedicated to improving the health system through research and policy advocacy,null,https://bangladeshhealthwatch.org/,null,null,null,null,bhw@bracu.ac.bd,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
72,SERAC Bangladesh,null,advocates for the inclusion of access to healthcare as a fundamental human right in the constitution,null,https://serac-bd.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
73,Health for All Coalition,null,advocates for universal health coverage,null,http://healthforall.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
74,BRAC Advocacy for Social Change,null,"focuses on policy reform to achieve broader social impact, including in the health sector",null,https://www.brac.net/program/advocacy-social-change/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
75,"Partnership for Maternal, Newborn & Child Health (PMNCH)",null,supports national civil society alliances to advocate for improved health outcomes in these areas,null,https://pmnch.who.int/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
76,Advocacy Incubator,null,supports various advocacy efforts related to health,null,https://www.advocacyincubator.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
77,CARE,null,advocates for the health and empowerment of women and girls,null,https://www.care.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
78,HHRD,null,focuses on providing emergency relief and supporting long-term recovery after disasters,null,https://www1.hhrd.org/,null,null,null,null,null,"(888) 808-HELP (4357)",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RO
79,UNICEF,null,works to meet the urgent and long-term needs of children and families during emergencies,null,https://www.unicef.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RO
80,Bangladesh Red Crescent Society,null,"plays a crucial role in disaster response, providing emergency healthcare and other forms of assistance",null,https://www.bdrcs.org,https://www.facebook.com/bdrcs/,https://twitter.com/bdrcs,null,null,info@bdrcs.org,"(880) (2) 48310188 / 48310189",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RO
81,Voluntary Health Services Society (VHSS),null,aims to advance health policies and priority issues through partnerships and a resource center accessible to the public,null,https://asksource.info/organisations/voluntary-health-services-society-vhss,null,null,null,null,vhss@citecho.net,"+880 2 8112962 / 8115755 / 8117547",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",VHO
82,BDesh Foundation,null,supports healthcare projects alongside poverty alleviation and education programs,null,https://bdeshfoundation.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PF
83,OBHIZATRIK Foundation,null,provides health and medical support as part of its sustainable development programs,null,https://obhizatrik.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PF
84,George Harrison Fund for UNICEF,null,supports UNICEF's health and education programs in Bangladesh,null,https://www.unicefusa.org/about-unicef-usa/partnerships/foundations/george-harrison-fund,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PF
85,IMPACT Foundation Bangladesh,null,"works towards a disability and poverty-free society, with a focus on healthcare interventions",null,https://www.impactfoundationbd.org/,null,null,null,null,null,"+880241022649-51",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PF
86,BRAC Social Enterprises,null,reinvest their surplus to create social impact in areas like healthcare and livelihoods,null,https://www.brac.net/enterprises,https://facebook.com/bracworld,https://twitter.com/bracworld,https://www.linkedin.com/company/brac,https://youtube.com/bracworld,info@brac.net,"88 02 2222 81265",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",SE
87,Grameen Eye Hospital,null,provides affordable healthcare to the poor,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",SE
88,Grameen Danone,null,provides nutritious food to the poor,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",SE
89,Qatar Bangladesh Foundation,null,supports social entrepreneurs in developing healthcare solutions,null,https://qbf.org.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",SE
90,Surjer Hashi Network,null,operates a large network of clinics providing quality and affordable health and family planning services,null,https://shnnetwork.org/,https://www.facebook.com/SurjerHashiNetwork,https://twitter.com/SurjerHashiNet,https://www.linkedin.com/company/surjer-hashi-network/,https://www.youtube.com/channel/UCIlch9KXeollWXiCyS7bPsg,Info@shnnetwork.org,"+8802-222274620",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",SE
91,GoodHope Insure,null,offers a range of health insurance packages,null,https://www.goodhope.com.bd/,null,null,null,null,info@goodhope.com.bd,"+8801711025165",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HIP
92,Green Delta Insurance,null,"provides various insurance products, including health insurance plans",null,https://green-delta.com/,null,null,null,null,null,"16457",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HIP
93,MetLife,null,offers health insurance solutions,null,https://www.metlife.com.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HIP
94,Carnival Assure,null,"acts as an insurance aggregator, offering health insurance plans from multiple providers",null,https://carnivalassure.com.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HIP
95,National Healthcare Network (NHN),null,"operates hospitals and medical centers, focusing on quality Medicare services",null,https://nhn-dab.org.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
96,Aalo Clinic,null,provides free medical treatment in urban slum areas of Dhaka,null,https://buhn.org/aalo-clinic,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
97,AYAT Care,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
98,Apollo Hospitals Dhaka,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
99,Asgar Ali Hospital,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
100,BANGABANDHU SHEIKH MUJIB MEDICAL UNIVERSITY,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
101,Bangkok Hospital Office Bangladesh,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
102,Centre for the Rehabilitation of the Paralysed (CRP),null,null,null,https://www.crp-bangladesh.org/,null,null,null,null,null,"+88 02223371464 - 5",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
103,Labaid Hospital,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
104,Square Hospitals,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",CHN
105,Praava Health,null,offers remote consultations with specialists,null,https://praavahealth.com/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
